x	cos(th)	sin(th)	v	thDot	
3.471258e-05	-0.9989419	-0.045990426	0.004164931	-0.0019861686	
0.00013881177	-0.9989646	-0.045494474	0.008326393	-0.003971389	
0.00031223975	-0.99900186	-0.044668004	0.012484388	-0.005956368	
0.0005549388	-0.99905294	-0.04351096	0.01663892	-0.0079418095	
0.0008668512	-0.99911666	-0.04202316	0.02078999	-0.009928416	
0.0012479193	-0.99919146	-0.040204287	0.024937604	-0.011916886	
0.0016980855	-0.9992757	-0.038053907	0.029081762	-0.013907916	
0.002217292	-0.9993671	-0.035571467	0.03322247	-0.015902199	
0.002805482	-0.9994634	-0.032756288	0.037359726	-0.01790042	
0.0034625973	-0.9995616	-0.029607581	0.041493535	-0.019903267	
0.0041191555	-0.9996496	-0.026471332	0.03729404	-0.017747879	
0.0047057513	-0.99971926	-0.023693306	0.033098046	-0.015600156	
0.005222443	-0.99977374	-0.02127238	0.028905544	-0.013459399	
0.005669289	-0.9998155	-0.019207528	0.024716536	-0.011324903	
0.0061157723	-0.9998529	-0.017150793	0.028860878	-0.013360431	
0.006561874	-0.999886	-0.015101584	0.024671907	-0.011234257	
0.0069381883	-0.9999101	-0.013406172	0.020486424	-0.009113615	
0.007244774	-0.9999272	-0.012063726	0.016304428	-0.006997797	
0.007551114	-0.9999425	-0.010726429	0.020455778	-0.009050984	
0.007857189	-0.9999559	-0.009393925	0.016273808	-0.006940613	
0.008163019	-0.99996746	-0.0080656605	0.020425182	-0.008999343	
0.008468584	-0.9999773	-0.00674128	0.016243238	-0.0068943887	
0.008704479	-0.9999834	-0.005767359	0.012064776	-0.004793517	
0.008940187	-0.9999885	-0.0047961567	0.016219657	-0.0068611223	
0.00917569	-0.99999267	-0.0038274387	0.012041216	-0.0047642207	
0.009341581	-0.9999949	-0.0032079092	0.007866254	-0.0026706797	
0.009507343	-0.99999666	-0.0025899373	0.012024633	-0.0047449367	
0.0096729575	-0.99999803	-0.0019734085	0.007849686	-0.002653927	
0.009838444	-0.9999991	-0.0013580156	0.012008077	-0.0047307205	
0.010003783	-0.9999997	-0.0007436449	0.007833145	-0.0026422304	
0.010168993	-1.0	-0.00012999041	0.01199155	-0.004721544	
0.010334057	-0.9999999	0.00048306052	0.00781663	-0.0026355654	
0.010429567	-0.9999997	0.0007486777	0.0036451884	-0.00055222097	
0.010525007	-0.99999946	0.0010143764	0.007807083	-0.0026359658	
0.010620358	-0.99999917	0.0012801506	0.0036356486	-0.00055370637	
0.01071564	-0.9999988	0.001546187	0.0077975513	-0.0026385337	
0.0108108325	-0.99999833	0.0018124793	0.0036261252	-0.0005573595	
0.010905955	-0.99999785	0.0020792144	0.0077880356	-0.002643269	
0.011000989	-0.99999726	0.0023463864	0.0036166173	-0.00056318176	
0.011095953	-0.9999966	0.0026141817	0.0077785356	-0.0026501745	
0.011190829	-0.9999958	0.0028825952	0.0036071253	-0.00057117746	
0.011285636	-0.99999505	0.0031518133	0.0077690515	-0.0026592563	
0.011380353	-0.99999416	0.003421831	0.003597649	-0.00058135384	
0.011475001	-0.9999932	0.0036928353	0.007759583	-0.0026705228	
0.011569561	-0.99999213	0.003964822	0.0035881887	-0.00059372117	
0.0116640525	-0.999991	0.0042379783	0.0077501307	-0.0026839857	
0.011758455	-0.9999898	0.0045123002	0.003578744	-0.0006082925	
0.011852788	-0.99998856	0.004787977	0.007740694	-0.00269966	
0.011947034	-0.9999872	0.0050650034	0.003569315	-0.0006250841	
0.011971785	-0.99998754	0.004996443	-0.00059858925	0.0014475499	
0.011996525	-0.99998784	0.0049296883	0.0035668404	-0.0006461654	
0.012021235	-0.99998814	0.0048646173	-0.00060106174	0.0014267602	
0.012045934	-0.9999885	0.0048013036	0.0035643699	-0.00066667364	
0.012140028	-0.99998707	0.005086755	0.0077263317	-0.0027585893	
0.012234034	-0.9999856	0.00537365	0.003554965	-0.0006845874	
0.012258546	-0.9999859	0.0053150565	-0.0006129273	0.0013874527	
0.012283048	-0.9999862	0.005258368	0.0035525144	-0.0007068695	
0.012307519	-0.99998647	0.005203467	-0.00061537593	0.0013654219	
0.012331979	-0.9999867	0.00515043	0.0035500678	-0.0007286592	
0.01235641	-0.999987	0.0050991406	-0.0006178205	0.0013438681	
0.01238083	-0.99998724	0.0050496766	0.0035476252	-0.0007499869	
0.0124052195	-0.9999875	0.0050019235	-0.000620261	0.0013227613	
0.012429599	-0.9999877	0.0049559595	0.0035451867	-0.00077088235	
0.012453948	-0.99998796	0.0049116714	-0.0006226974	0.001302072	
0.012478286	-0.99998814	0.0048691393	0.0035427522	-0.0007913747	
0.01257202	-0.9999866	0.0051753777	0.0077047325	-0.0028833454	
0.012665667	-0.999985	0.005483073	0.0035333834	-0.00080944266	
0.01268982	-0.99998516	0.0054452997	-0.000634491	0.0012624556	
0.012713961	-0.9999854	0.005409458	0.0035309687	-0.0008320481	
0.012738074	-0.9999856	0.0053754384	-0.0006369037	0.0012400162	
0.012762176	-0.9999857	0.0053433236	0.003528558	-0.00085433084	
0.012786248	-0.9999859	0.005313005	-0.0006393124	0.0012178839	
0.01281031	-0.99998605	0.0052845664	0.0035261512	-0.0008763217	
0.012834342	-0.9999862	0.0052579013	-0.0006417171	0.0011960282	
0.012858364	-0.9999863	0.0052330955	0.0035237484	-0.000898051	
0.012882356	-0.9999864	0.0052100415	-0.00064411777	0.0011744188	
0.012906338	-0.9999865	0.0051888274	0.0035213497	-0.0009195488	
0.01293029	-0.99998665	0.005169348	-0.00064651447	0.0011530261	
0.012954231	-0.9999867	0.0051516914	0.003518955	-0.00094084477	
0.012978144	-0.9999868	0.005135753	-0.0006489072	0.0011318205	
0.013002045	-0.9999869	0.0051216236	0.0035165644	-0.0009619681	
0.013025918	-0.99998695	0.0051092	-0.00065129594	0.0011107728	
0.01304978	-0.999987	0.0050985725	0.0035141776	-0.0009829479	
0.013073613	-0.99998707	0.0050896397	-0.00065368065	0.0010898542	
0.013097435	-0.99998707	0.005082494	0.0035117948	-0.0010038129	
0.013121229	-0.9999871	0.005077035	-0.0006560614	0.001069036	
0.013145011	-0.9999871	0.005073356	0.003509416	-0.0010245917	
0.013168764	-0.9999871	0.0050713574	-0.00065843825	0.0010482897	
0.013192507	-0.9999871	0.0050711334	0.0035070414	-0.0010453127	
0.013216222	-0.9999871	0.0050725867	-0.0006608111	0.001027587	
0.013239925	-0.9999871	0.005075812	0.0035046705	-0.0010660042	
0.013263599	-0.99998707	0.0050807134	-0.00066317996	0.0010068995	
0.013287264	-0.99998707	0.005087387	0.0035023035	-0.0010866943	
0.013310898	-0.999987	0.005095737	-0.00066554494	0.0009861994	
0.013334523	-0.99998695	0.005105862	0.0034999405	-0.0011074113	
0.013358119	-0.9999869	0.005117667	-0.00066790596	0.0009654582	
0.013381704	-0.9999868	0.0051312507	0.0034975815	-0.0011281832	
0.013405261	-0.99998677	0.0051465207	-0.000670263	0.000944648	
0.013428806	-0.99998665	0.005163577	0.0034952264	-0.0011490382	
0.013452323	-0.9999866	0.005182327	-0.0006726162	0.00092374044	
0.013475831	-0.99998647	0.005202872	0.0034928753	-0.0011700046	
0.013499308	-0.99998635	0.005225122	-0.0006749654	0.0009027074	
0.013522776	-0.99998623	0.005249179	0.0034905279	-0.0011911106	
0.013546214	-0.9999861	0.005274953	-0.00067731075	0.00088152033	
0.013569644	-0.99998593	0.005302548	0.0034881844	-0.0012123847	
